<'algoritmo','algoritmo'>
<'declare','declare'>
<'idade',IDENT>
<':',':'>
<'inteiro','inteiro'>
<'leia','leia'>
<'(','('>
<'idade',IDENT>
<')',')'>
<'caso',IDENT>
<'idade',IDENT>
<'seja',IDENT>
<'0',NUM_INT>
<':',':'>
<'escreva','escreva'>
<'(','('>
<'"bebe"',CADEIA>
<')',')'>
<'1',NUM_INT>
<'.',ERR>
<'.',ERR>
<'10',NUM_INT>
<':',':'>
<'escreva','escreva'>
<'(','('>
<'"crianca"',CADEIA>
<')',')'>
<'11',NUM_INT>
<'.',ERR>
<'.',ERR>
<'14',NUM_INT>
<':',':'>
<'escreva','escreva'>
<'(','('>
<'"pre-adolescente"',CADEIA>
<')',')'>
<'15',NUM_INT>
<'.',ERR>
<'.',ERR>
<'18',NUM_INT>
<':',':'>
<'escreva','escreva'>
<'(','('>
<'"adolescente"',CADEIA>
<')',')'>
<'19',NUM_INT>
<'.',ERR>
<'.',ERR>
<'120',NUM_INT>
<':',':'>
<'escreva','escreva'>
<'(','('>
<'"adulto"',CADEIA>
<')',')'>
<'senao','senao'>
<'escreva','escreva'>
<'(','('>
<'"Idade invalida ou sem classificacao definida"',CADEIA>
<')',')'>
<'fim_caso',IDENT>
<'fim_algoritmo','fim_algoritmo'>
